Time_Index,Price_mmbtu_z1,Price_mmbtu_z2,Price_mmbtu_z3
1,25.68,25.68,25.68
2,25.68,25.68,25.68
3,25.68,25.68,25.68
4,25.68,25.68,25.68
5,25.68,25.68,25.68
6,25.68,25.68,25.68
7,25.68,25.68,25.68
8,25.68,25.68,25.68
9,25.68,25.68,25.68
10,25.68,25.68,25.68
11,25.68,25.68,25.68
12,25.68,25.68,25.68
13,25.68,25.68,25.68
14,25.68,25.68,25.68
15,25.68,25.68,25.68
16,25.68,25.68,25.68
17,25.68,25.68,25.68
18,25.68,25.68,25.68
19,25.68,25.68,25.68
20,25.68,25.68,25.68
21,25.68,25.68,25.68
22,25.68,25.68,25.68
23,25.68,25.68,25.68
24,25.68,25.68,25.68
25,25.68,25.68,25.68
26,25.68,25.68,25.68
27,25.68,25.68,25.68
28,25.68,25.68,25.68
29,25.68,25.68,25.68
30,25.68,25.68,25.68
31,25.68,25.68,25.68
32,25.68,25.68,25.68
33,25.68,25.68,25.68
34,25.68,25.68,25.68
35,25.68,25.68,25.68
36,25.68,25.68,25.68
37,25.68,25.68,25.68
38,25.68,25.68,25.68
39,25.68,25.68,25.68
40,25.68,25.68,25.68
41,25.68,25.68,25.68
42,25.68,25.68,25.68
43,25.68,25.68,25.68
44,25.68,25.68,25.68
45,25.68,25.68,25.68
46,25.68,25.68,25.68
47,25.68,25.68,25.68
48,25.68,25.68,25.68
49,25.68,25.68,25.68
50,25.68,25.68,25.68
51,25.68,25.68,25.68
52,25.68,25.68,25.68
53,25.68,25.68,25.68
54,25.68,25.68,25.68
55,25.68,25.68,25.68
56,25.68,25.68,25.68
57,25.68,25.68,25.68
58,25.68,25.68,25.68
59,25.68,25.68,25.68
60,25.68,25.68,25.68
61,25.68,25.68,25.68
62,25.68,25.68,25.68
63,25.68,25.68,25.68
64,25.68,25.68,25.68
65,25.68,25.68,25.68
66,25.68,25.68,25.68
67,25.68,25.68,25.68
68,25.68,25.68,25.68
69,25.68,25.68,25.68
70,25.68,25.68,25.68
71,25.68,25.68,25.68
72,25.68,25.68,25.68
73,25.68,25.68,25.68
74,25.68,25.68,25.68
75,25.68,25.68,25.68
76,25.68,25.68,25.68
77,25.68,25.68,25.68
78,25.68,25.68,25.68
79,25.68,25.68,25.68
80,25.68,25.68,25.68
81,25.68,25.68,25.68
82,25.68,25.68,25.68
83,25.68,25.68,25.68
84,25.68,25.68,25.68
85,25.68,25.68,25.68
86,25.68,25.68,25.68
87,25.68,25.68,25.68
88,25.68,25.68,25.68
89,25.68,25.68,25.68
90,25.68,25.68,25.68
91,25.68,25.68,25.68
92,25.68,25.68,25.68
93,25.68,25.68,25.68
94,25.68,25.68,25.68
95,25.68,25.68,25.68
96,25.68,25.68,25.68
97,25.68,25.68,25.68
98,25.68,25.68,25.68
99,25.68,25.68,25.68
100,25.68,25.68,25.68
101,25.68,25.68,25.68
102,25.68,25.68,25.68
103,25.68,25.68,25.68
104,25.68,25.68,25.68
105,25.68,25.68,25.68
106,25.68,25.68,25.68
107,25.68,25.68,25.68
108,25.68,25.68,25.68
109,25.68,25.68,25.68
110,25.68,25.68,25.68
111,25.68,25.68,25.68
112,25.68,25.68,25.68
113,25.68,25.68,25.68
114,25.68,25.68,25.68
115,25.68,25.68,25.68
116,25.68,25.68,25.68
117,25.68,25.68,25.68
118,25.68,25.68,25.68
119,25.68,25.68,25.68
120,25.68,25.68,25.68
121,25.68,25.68,25.68
122,25.68,25.68,25.68
123,25.68,25.68,25.68
124,25.68,25.68,25.68
125,25.68,25.68,25.68
126,25.68,25.68,25.68
127,25.68,25.68,25.68
128,25.68,25.68,25.68
129,25.68,25.68,25.68
130,25.68,25.68,25.68
131,25.68,25.68,25.68
132,25.68,25.68,25.68
133,25.68,25.68,25.68
134,25.68,25.68,25.68
135,25.68,25.68,25.68
136,25.68,25.68,25.68
137,25.68,25.68,25.68
138,25.68,25.68,25.68
139,25.68,25.68,25.68
140,25.68,25.68,25.68
141,25.68,25.68,25.68
142,25.68,25.68,25.68
143,25.68,25.68,25.68
144,25.68,25.68,25.68
145,25.68,25.68,25.68
146,25.68,25.68,25.68
147,25.68,25.68,25.68
148,25.68,25.68,25.68
149,25.68,25.68,25.68
150,25.68,25.68,25.68
151,25.68,25.68,25.68
152,25.68,25.68,25.68
153,25.68,25.68,25.68
154,25.68,25.68,25.68
155,25.68,25.68,25.68
156,25.68,25.68,25.68
157,25.68,25.68,25.68
158,25.68,25.68,25.68
159,25.68,25.68,25.68
160,25.68,25.68,25.68
161,25.68,25.68,25.68
162,25.68,25.68,25.68
163,25.68,25.68,25.68
164,25.68,25.68,25.68
165,25.68,25.68,25.68
166,25.68,25.68,25.68
167,25.68,25.68,25.68
168,25.68,25.68,25.68
169,25.68,25.68,25.68
170,25.68,25.68,25.68
171,25.68,25.68,25.68
172,25.68,25.68,25.68
173,25.68,25.68,25.68
174,25.68,25.68,25.68
175,25.68,25.68,25.68
176,25.68,25.68,25.68
177,25.68,25.68,25.68
178,25.68,25.68,25.68
179,25.68,25.68,25.68
180,25.68,25.68,25.68
181,25.68,25.68,25.68
182,25.68,25.68,25.68
183,25.68,25.68,25.68
184,25.68,25.68,25.68
185,25.68,25.68,25.68
186,25.68,25.68,25.68
187,25.68,25.68,25.68
188,25.68,25.68,25.68
189,25.68,25.68,25.68
190,25.68,25.68,25.68
