Time_Index,Price_mmbtu_z1,Price_mmbtu_z2,Price_mmbtu_z3
1,19.96,19.96,19.96
2,19.96,19.96,19.96
3,19.96,19.96,19.96
4,19.96,19.96,19.96
5,19.96,19.96,19.96
6,19.96,19.96,19.96
7,19.96,19.96,19.96
8,19.96,19.96,19.96
9,19.96,19.96,19.96
10,19.96,19.96,19.96
11,19.96,19.96,19.96
12,19.96,19.96,19.96
13,19.96,19.96,19.96
14,19.96,19.96,19.96
15,19.96,19.96,19.96
16,19.96,19.96,19.96
17,19.96,19.96,19.96
18,19.96,19.96,19.96
19,19.96,19.96,19.96
20,19.96,19.96,19.96
21,19.96,19.96,19.96
22,19.96,19.96,19.96
23,19.96,19.96,19.96
24,19.96,19.96,19.96
25,19.96,19.96,19.96
26,19.96,19.96,19.96
27,19.96,19.96,19.96
28,19.96,19.96,19.96
29,19.96,19.96,19.96
30,19.96,19.96,19.96
31,19.96,19.96,19.96
32,19.96,19.96,19.96
33,19.96,19.96,19.96
34,19.96,19.96,19.96
35,19.96,19.96,19.96
36,19.96,19.96,19.96
37,19.96,19.96,19.96
38,19.96,19.96,19.96
39,19.96,19.96,19.96
40,19.96,19.96,19.96
41,19.96,19.96,19.96
42,19.96,19.96,19.96
43,19.96,19.96,19.96
44,19.96,19.96,19.96
45,19.96,19.96,19.96
46,19.96,19.96,19.96
47,19.96,19.96,19.96
48,19.96,19.96,19.96
49,19.96,19.96,19.96
50,19.96,19.96,19.96
51,19.96,19.96,19.96
52,19.96,19.96,19.96
53,19.96,19.96,19.96
54,19.96,19.96,19.96
55,19.96,19.96,19.96
56,19.96,19.96,19.96
57,19.96,19.96,19.96
58,19.96,19.96,19.96
59,19.96,19.96,19.96
60,19.96,19.96,19.96
61,19.96,19.96,19.96
62,19.96,19.96,19.96
63,19.96,19.96,19.96
64,19.96,19.96,19.96
65,19.96,19.96,19.96
66,19.96,19.96,19.96
67,19.96,19.96,19.96
68,19.96,19.96,19.96
69,19.96,19.96,19.96
70,19.96,19.96,19.96
71,19.96,19.96,19.96
72,19.96,19.96,19.96
73,19.96,19.96,19.96
74,19.96,19.96,19.96
75,19.96,19.96,19.96
76,19.96,19.96,19.96
77,19.96,19.96,19.96
78,19.96,19.96,19.96
79,19.96,19.96,19.96
80,19.96,19.96,19.96
81,19.96,19.96,19.96
82,19.96,19.96,19.96
83,19.96,19.96,19.96
84,19.96,19.96,19.96
85,19.96,19.96,19.96
86,19.96,19.96,19.96
87,19.96,19.96,19.96
88,19.96,19.96,19.96
89,19.96,19.96,19.96
90,19.96,19.96,19.96
91,19.96,19.96,19.96
92,19.96,19.96,19.96
93,19.96,19.96,19.96
94,19.96,19.96,19.96
95,19.96,19.96,19.96
96,19.96,19.96,19.96
97,19.96,19.96,19.96
98,19.96,19.96,19.96
99,19.96,19.96,19.96
100,19.96,19.96,19.96
101,19.96,19.96,19.96
102,19.96,19.96,19.96
103,19.96,19.96,19.96
104,19.96,19.96,19.96
105,19.96,19.96,19.96
106,19.96,19.96,19.96
107,19.96,19.96,19.96
108,19.96,19.96,19.96
109,19.96,19.96,19.96
110,19.96,19.96,19.96
111,19.96,19.96,19.96
112,19.96,19.96,19.96
113,19.96,19.96,19.96
114,19.96,19.96,19.96
115,19.96,19.96,19.96
116,19.96,19.96,19.96
117,19.96,19.96,19.96
118,19.96,19.96,19.96
119,19.96,19.96,19.96
120,19.96,19.96,19.96
121,19.96,19.96,19.96
122,19.96,19.96,19.96
123,19.96,19.96,19.96
124,19.96,19.96,19.96
125,19.96,19.96,19.96
126,19.96,19.96,19.96
127,19.96,19.96,19.96
128,19.96,19.96,19.96
129,19.96,19.96,19.96
130,19.96,19.96,19.96
131,19.96,19.96,19.96
132,19.96,19.96,19.96
133,19.96,19.96,19.96
134,19.96,19.96,19.96
135,19.96,19.96,19.96
136,19.96,19.96,19.96
137,19.96,19.96,19.96
138,19.96,19.96,19.96
139,19.96,19.96,19.96
140,19.96,19.96,19.96
141,19.96,19.96,19.96
142,19.96,19.96,19.96
143,19.96,19.96,19.96
144,19.96,19.96,19.96
145,19.96,19.96,19.96
146,19.96,19.96,19.96
147,19.96,19.96,19.96
148,19.96,19.96,19.96
149,19.96,19.96,19.96
150,19.96,19.96,19.96
151,19.96,19.96,19.96
152,19.96,19.96,19.96
153,19.96,19.96,19.96
154,19.96,19.96,19.96
155,19.96,19.96,19.96
156,19.96,19.96,19.96
157,19.96,19.96,19.96
158,19.96,19.96,19.96
159,19.96,19.96,19.96
160,19.96,19.96,19.96
161,19.96,19.96,19.96
162,19.96,19.96,19.96
163,19.96,19.96,19.96
164,19.96,19.96,19.96
165,19.96,19.96,19.96
166,19.96,19.96,19.96
167,19.96,19.96,19.96
168,19.96,19.96,19.96
169,19.96,19.96,19.96
170,19.96,19.96,19.96
171,19.96,19.96,19.96
172,19.96,19.96,19.96
173,19.96,19.96,19.96
174,19.96,19.96,19.96
